dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
2/10/2020,2,10,2020,712,3,Sweden,SE,SWE,10327589,Europe
24/09/2021,24,9,2021,715,6,Sweden,SE,SWE,10327589,Europe
22/04/2020,22,4,2020,723,77,Sweden,SE,SWE,10327589,Europe
29/06/2020,29,6,2020,726,16,Sweden,SE,SWE,10327589,Europe
10/6/2021,10,6,2021,729,3,Sweden,SE,SWE,10327589,Europe
5/11/2021,5,11,2021,731,4,Sweden,SE,SWE,10327589,Europe
5/10/2021,5,10,2021,738,6,Sweden,SE,SWE,10327589,Europe
7/4/2020,7,4,2020,739,84,Sweden,SE,SWE,10327589,Europe
7/10/2021,7,10,2021,741,8,Sweden,SE,SWE,10327589,Europe
22/09/2021,22,9,2021,742,10,Sweden,SE,SWE,10327589,Europe
28/04/2020,28,4,2020,742,83,Sweden,SE,SWE,10327589,Europe
6/5/2020,6,5,2020,745,73,Sweden,SE,SWE,10327589,Europe
26/05/2020,26,5,2020,746,28,Sweden,SE,SWE,10327589,Europe
12/5/2020,12,5,2020,754,61,Sweden,SE,SWE,10327589,Europe
27/06/2020,27,6,2020,755,14,Sweden,SE,SWE,10327589,Europe
5/6/2021,5,6,2021,758,3,Sweden,SE,SWE,10327589,Europe
23/04/2020,23,4,2020,758,86,Sweden,SE,SWE,10327589,Europe
30/09/2021,30,9,2021,766,5,Sweden,SE,SWE,10327589,Europe
23/09/2021,23,9,2021,771,6,Sweden,SE,SWE,10327589,Europe
19/10/2020,19,10,2020,771,4,Sweden,SE,SWE,10327589,Europe
29/05/2020,29,5,2020,773,40,Sweden,SE,SWE,10327589,Europe
28/05/2020,28,5,2020,774,40,Sweden,SE,SWE,10327589,Europe
21/10/2021,21,10,2021,777,4,Sweden,SE,SWE,10327589,Europe
6/6/2020,6,6,2020,780,29,Sweden,SE,SWE,10327589,Europe
24/04/2020,24,4,2020,781,89,Sweden,SE,SWE,10327589,Europe
9/10/2020,9,10,2020,783,5,Sweden,SE,SWE,10327589,Europe
7/5/2020,7,5,2020,785,80,Sweden,SE,SWE,10327589,Europe
20/10/2021,20,10,2021,786,3,Sweden,SE,SWE,10327589,Europe
6/10/2020,6,10,2020,786,4,Sweden,SE,SWE,10327589,Europe
13/10/2021,13,10,2021,796,7,Sweden,SE,SWE,10327589,Europe
29/04/2020,29,4,2020,799,83,Sweden,SE,SWE,10327589,Europe
22/06/2020,22,6,2020,800,20,Sweden,SE,SWE,10327589,Europe
27/05/2020,27,5,2020,800,38,Sweden,SE,SWE,10327589,Europe
30/06/2020,30,6,2020,808,20,Sweden,SE,SWE,10327589,Europe
20/05/2020,20,5,2020,808,52,Sweden,SE,SWE,10327589,Europe
19/10/2021,19,10,2021,818,3,Sweden,SE,SWE,10327589,Europe
6/8/2021,6,8,2021,818,3,Sweden,SE,SWE,10327589,Europe
5/8/2021,5,8,2021,819,2,Sweden,SE,SWE,10327589,Europe
9/6/2021,9,6,2021,825,7,Sweden,SE,SWE,10327589,Europe
4/11/2021,4,11,2021,826,2,Sweden,SE,SWE,10327589,Europe
13/11/2021,13,11,2021,829,2,Sweden,SE,SWE,10327589,Europe
17/09/2021,17,9,2021,830,7,Sweden,SE,SWE,10327589,Europe
7/10/2020,7,10,2020,831,3,Sweden,SE,SWE,10327589,Europe
8/10/2020,8,10,2020,834,1,Sweden,SE,SWE,10327589,Europe
3/11/2021,3,11,2021,837,10,Sweden,SE,SWE,10327589,Europe
26/07/2021,26,7,2021,839,0,Sweden,SE,SWE,10327589,Europe
6/10/2021,6,10,2021,842,11,Sweden,SE,SWE,10327589,Europe
28/09/2021,28,9,2021,845,4,Sweden,SE,SWE,10327589,Europe
29/09/2021,29,9,2021,852,7,Sweden,SE,SWE,10327589,Europe
4/8/2021,4,8,2021,852,0,Sweden,SE,SWE,10327589,Europe
30/10/2021,30,10,2021,861,2,Sweden,SE,SWE,10327589,Europe
28/11/2021,28,11,2021,880,2,Sweden,SE,SWE,10327589,Europe
27/10/2021,27,10,2021,891,4,Sweden,SE,SWE,10327589,Europe
22/10/2021,22,10,2021,891,3,Sweden,SE,SWE,10327589,Europe
