dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp,,
15/01/2021,15,1,2021,16144,477,Italy,IT,ITA,59641488,Europe,,
15/01/2022,15,1,2022,192936,308,Italy,IT,ITA,59641488,Europe,,
15/02/2021,15,2,2021,7344,258,Italy,IT,ITA,59641488,Europe,,
15/03/2020,15,3,2020,3590,368,Italy,IT,ITA,59641488,Europe,,
15/03/2021,15,3,2021,15252,354,Italy,IT,ITA,59641488,Europe,,
15/04/2020,15,4,2020,2667,578,Italy,IT,ITA,59641488,Europe,,
15/04/2021,15,4,2021,16963,380,Italy,IT,ITA,59641488,Europe,,
15/05/2020,15,5,2020,789,242,Italy,IT,ITA,59641488,Europe,,
15/05/2021,15,5,2021,6652,136,Italy,IT,ITA,59641488,Europe,,
15/06/2020,15,6,2020,301,26,Italy,IT,ITA,59641488,Europe,,
15/06/2021,15,6,2021,1253,63,Italy,IT,ITA,59641488,Europe,,
15/07/2020,15,7,2020,162,13,Italy,IT,ITA,59641488,Europe,,
